,animal,session,cluster ID,learning phase,Stim decoding accuracy,FR modulation
77,BS_41,BS_41_11_AC.pickle,56,nan,0.594974871,0.33806626098715353
78,BS_41,BS_41_11_AC.pickle,79,nan,0.727136229,1.7849898580121675
79,BS_41,BS_41_1_AC.pickle,33,switch,0.589197454,12.352406902815629
80,BS_41,BS_41_1_AC.pickle,84,switch,0.573306156,13.47865576748412
81,BS_41,BS_41_1_AC.pickle,186,switch,0.56182227,4.232515894641242
82,BS_41,BS_41_1_AC.pickle,194,switch,0.589413657,2.925925925925925
83,BS_41,BS_41_1_AC.pickle,261,switch,0.586701348,6.845238095238095
84,BS_41,BS_41_1_AC.pickle,327,switch,0.561017892,28.574023614895587
85,BS_41,BS_41_1_AC.pickle,360,switch,0.578249485,2.3433242506811967
86,BS_41,BS_41_2_AC.pickle,23,post early,0.573167649,1.5532286212914481
87,BS_41,BS_41_2_AC.pickle,52,post early,0.607901705,27.225130890052355
88,BS_41,BS_41_2_AC.pickle,55,post early,0.579571585,5.543478260869565
89,BS_41,BS_41_2_AC.pickle,155,post early,0.604786187,2.494004796163069
90,BS_41,BS_41_2_AC.pickle,236,post early,0.678737374,5.222222222222222
91,BS_41,BS_41_4_AC.pickle,6,post late,0.647717662,6.8956743002544485
92,BS_41,BS_41_4_AC.pickle,19,post late,0.707119114,14.96183206106869
93,BS_41,BS_41_4_AC.pickle,20,post late,0.759823542,3.1424936386768474
94,BS_41,BS_41_4_AC.pickle,57,post late,0.781080525,12.60814249363868
95,BS_41,BS_41_4_AC.pickle,64,post late,0.657729111,5.343511450381697
96,BS_41,BS_41_4_AC.pickle,66,post late,0.561240438,4.147582697201017
97,BS_41,BS_41_4_AC.pickle,84,post late,0.560245592,1.4376590330788803
98,BS_41,BS_41_4_AC.pickle,95,post late,0.686723299,2.4300254452926198
99,BS_41,BS_41_4_AC.pickle,97,post late,0.747385462,0.512820512820513
100,BS_41,BS_41_4_AC.pickle,100,post late,0.618849652,0.9629629629629626
101,BS_41,BS_41_4_AC.pickle,101,post late,0.603717124,7.137404580152674
102,BS_41,BS_41_4_AC.pickle,115,post late,0.654636482,6.22137404580154
103,BS_41,BS_41_4_AC.pickle,117,post late,0.605092675,9.707379134860044
104,BS_41,BS_41_4_AC.pickle,119,post late,0.559577383,3.3842239185750564
105,BS_41,BS_41_5_AC.pickle,13,post late,0.740208138,7.492354740061158
106,BS_41,BS_41_5_AC.pickle,15,post late,0.622301638,2.587064676616916
107,BS_41,BS_41_5_AC.pickle,68,post late,0.662698653,2.9226361031518597
108,BS_41,BS_41_6_AC.pickle,3,post late,0.579061872,12.114093959731518
109,BS_41,BS_41_6_AC.pickle,6,post late,0.581940136,0.5591397849462366
110,BS_41,BS_41_6_AC.pickle,7,post late,0.559802036,7.483221476510067
111,BS_41,BS_41_6_AC.pickle,32,post late,0.606733693,1.4100185528756946
112,BS_41,BS_41_7_AC.pickle,0,post late,0.579945238,2.011494252873561
113,BS_41,BS_41_7_AC.pickle,50,post late,0.574705019,1.3308913308913324
114,BS_41,BS_41_7_AC.pickle,55,post late,0.595666667,1.3218390804597726
115,BS_41,BS_41_7_AC.pickle,63,post late,0.576185714,1.6781609195402274
116,BS_41,BS_41_7_AC.pickle,64,post late,0.605054762,3.9080459770115
117,BS_41,BS_41_7_AC.pickle,73,post late,0.588572217,0.6226271829916474
118,BS_41,BS_41_7_AC.pickle,81,post late,0.604665918,0.5865522174535049
119,BS_41,BS_41_8_AC.pickle,13,post late,0.613306466,3.138173302107734
120,BS_41,BS_41_8_AC.pickle,58,post late,0.651294672,1.616161616161617
121,BS_41,BS_41_8_AC.pickle,60,post late,0.827875802,11.086142322097386
122,BS_41,BS_41_8_AC.pickle,61,post late,0.566279695,10.087719298245611
123,BS_41,BS_41_8_AC.pickle,66,post late,0.763796256,0.720000000000001
124,BS_41,BS_41_8_AC.pickle,67,post late,0.671603623,1.5677321156773214
125,BS_41,BS_41_8_AC.pickle,72,post late,0.617195266,1.6720257234726674
126,BS_41,BS_41_8_AC.pickle,77,post late,0.585143392,7.253333333333332
127,BS_41,BS_41_8_AC.pickle,82,post late,0.720948173,4.712371946414507
128,BS_41,BS_41_9_AC.pickle,24,post late,0.577759016,2.9457364341085293
129,BS_41,BS_41_9_AC.pickle,37,post late,0.612459526,20.890493381468115
130,BS_41,BS_41_9_AC.pickle,101,post late,0.641600667,1.4555555555555566
131,BS_41,BS_41_9_AC.pickle,109,post late,0.565677419,3.5777777777777753
132,BS_42,BS_42_10_AC.pickle,8,post expert,0.691490832,4.253393665158373
133,BS_42,BS_42_10_AC.pickle,10,post expert,0.668780982,4.645550527903469
134,BS_42,BS_42_10_AC.pickle,18,post expert,0.584930452,2.9141716566866256
135,BS_42,BS_42_10_AC.pickle,26,post expert,0.597388173,15.656108597285073
136,BS_42,BS_42_11_AC.pickle,44,post expert,0.657915396,41.99513381995131
137,BS_42,BS_42_2_AC.pickle,8,post early,0.654904222,26.400000000000002
138,BS_42,BS_42_2_AC.pickle,9,post early,0.608303627,3.727422003284073
139,BS_42,BS_42_2_AC.pickle,12,post early,0.590261067,17.21333333333333
140,BS_42,BS_42_2_AC.pickle,14,post early,0.738920495,50.14666666666665
141,BS_42,BS_42_2_AC.pickle,15,post early,0.621531809,2.0800000000000036
142,BS_42,BS_42_2_AC.pickle,16,post early,0.682780127,65.78666666666653
143,BS_42,BS_42_2_AC.pickle,54,post early,0.559525594,16.600000000000005
144,BS_42,BS_42_2_AC.pickle,61,post early,0.6045903,8.893333333333334
145,BS_42,BS_42_2_AC.pickle,62,post early,0.624962522,4.186666666666664
146,BS_42,BS_42_2_AC.pickle,64,post early,0.563356397,6.693333333333342
147,BS_42,BS_42_2_AC.pickle,82,post early,0.643283042,19.83999999999999
148,BS_42,BS_42_2_AC.pickle,85,post early,0.64974598,47.17333333333328
149,BS_42,BS_42_2_AC.pickle,86,post early,0.614041579,22.45333333333335
150,BS_42,BS_42_2_AC.pickle,131,post early,0.573034467,1.3199999999999996
151,BS_42,BS_42_3_AC.pickle,26,post early,0.570240171,2.0333333333333306
152,BS_42,BS_42_3_AC.pickle,27,post early,0.570326717,1.9455252918287929
153,BS_42,BS_42_3_AC.pickle,47,post early,0.582551293,2.103448275862068
154,BS_42,BS_42_3_AC.pickle,56,post early,0.580080502,5.7333333333333405
155,BS_42,BS_42_3_AC.pickle,96,post early,0.648849175,14.34878587196468
156,BS_42,BS_42_3_AC.pickle,101,post early,0.628104405,0.8659793814432997
157,BS_42,BS_42_4_AC.pickle,36,post early,0.564843314,3.3274544385655545
158,BS_42,BS_42_4_AC.pickle,40,post early,0.584086111,42.947845804988646
