,animal,session,cluster ID,learning phase,FR modulation
90,BS_70,BS_70_8_AC.pickle,21,post late,13.699788583509507
91,BS_70,BS_70_8_AC.pickle,28,post late,1.5958240119313933
92,BS_70,BS_70_8_AC.pickle,36,post late,2.2771535580524342
93,BS_70,BS_70_8_AC.pickle,42,post late,2.4914442162902133
94,BS_70,BS_70_8_AC.pickle,48,post late,10.363984674329505
95,BS_70,BS_70_8_AC.pickle,52,post late,0.5065023956194391
96,BS_40,BS_40_8_AC.pickle,44,pre late,0.9642560266001666
97,BS_40,BS_40_4_AC.pickle,18,pre late,18.91472868217054
98,BS_40,BS_40_4_AC.pickle,29,pre late,7.160000000000004
99,DS_15,DS_15_14_AC.pickle,31,post expert,12.597701149425287
100,DS_15,DS_15_14_AC.pickle,36,post expert,5.011494252873567
101,DS_15,DS_15_14_AC.pickle,41,post expert,10.666666666666663
102,DS_15,DS_15_14_AC.pickle,44,post expert,18.896551724137936
103,DS_15,DS_15_14_AC.pickle,52,post expert,10.482758620689644
104,DS_15,DS_15_14_AC.pickle,58,post expert,10.89655172413793
105,DS_15,DS_15_14_AC.pickle,59,post expert,2.0229885057471244
106,DS_15,DS_15_14_AC.pickle,65,post expert,2.8965517241379257
107,DS_15,DS_15_14_AC.pickle,66,post expert,5.885057471264375
108,DS_15,DS_15_14_AC.pickle,73,post expert,0.41379310344827586
109,DS_15,DS_15_14_AC.pickle,84,post expert,1.7931034482758625
110,DS_15,DS_15_14_AC.pickle,114,post expert,16.32183908045977
111,DS_15,DS_15_14_AC.pickle,137,post expert,1.241379310344828
112,DS_15,DS_15_14_AC.pickle,146,post expert,3.4482758620689644
113,BS_87,BS_87_4_AC.pickle,3,post early,25.031446540880523
114,BS_87,BS_87_4_AC.pickle,15,post early,4.685534591194957
115,BS_87,BS_87_4_AC.pickle,18,post early,5.424528301886788
116,BS_87,BS_87_4_AC.pickle,19,post early,2.9874213836478005
117,BS_87,BS_87_4_AC.pickle,26,post early,33.738848337388504
118,BS_87,BS_87_4_AC.pickle,27,post early,23.09748427672956
119,BS_87,BS_87_4_AC.pickle,33,post early,3.0660377358490445
