,session,clust,accuracy,NCR_ratio,learning_phase,animal
48,BS_108_3_AC.pickle,"[46, 62, 88, 107, 131, 144, 164, 186, 316, 361, 362]",0.8047435897435898,0.36363636363636365,pre_expert,BS_108_3_AC
49,BS_108_3_AC.pickle,"[19, 35, 46, 107, 144, 155, 215, 242, 256, 340, 364]",0.7666506410256411,0.45454545454545453,pre_expert,BS_108_3_AC
50,BS_108_3_AC.pickle,"[35, 44, 88, 144, 155, 164, 175, 215, 229, 348, 361]",0.7552884615384615,0.6363636363636364,pre_expert,BS_108_3_AC
51,BS_108_3_AC.pickle,"[35, 44, 81, 88, 155, 176, 224, 272, 286, 348, 362]",0.600756843800322,0.45454545454545453,pre_expert,BS_108_3_AC
52,BS_108_3_AC.pickle,"[19, 62, 131, 144, 155, 164, 194, 195, 224, 254, 272]",0.5508751505419509,0.2727272727272727,pre_expert,BS_108_3_AC
53,BS_108_3_AC.pickle,"[19, 46, 107, 144, 155, 176, 215, 224, 242, 256, 316]",0.8125160256410257,0.36363636363636365,pre_expert,BS_108_3_AC
54,BS_108_3_AC.pickle,"[44, 46, 107, 144, 155, 164, 175, 195, 316, 361]",0.8667307692307693,0.5,pre_expert,BS_108_3_AC
55,BS_108_3_AC.pickle,"[19, 35, 46, 131, 155, 164, 186, 242, 340, 364]",0.8056089743589744,0.5,pre_expert,BS_108_3_AC
56,BS_108_3_AC.pickle,"[19, 46, 62, 88, 215, 242, 254, 286, 340, 361, 364]",0.8213461538461538,0.09090909090909091,pre_expert,BS_108_3_AC
57,BS_108_3_AC.pickle,"[35, 88, 107, 131, 164, 176, 229, 254, 256, 348]",0.6749839743589744,0.5,pre_expert,BS_108_3_AC
58,BS_108_3_AC.pickle,"[19, 35, 44, 107, 131, 176, 186, 242, 286, 340]",0.5767948717948719,0.4,pre_expert,BS_108_3_AC
59,BS_108_3_AC.pickle,"[44, 62, 88, 176, 215, 254, 340, 348, 361, 364]",0.6806089743589744,0.3,pre_expert,BS_108_3_AC
60,BS_108_3_AC.pickle,"[19, 46, 88, 107, 131, 144, 186, 194, 224, 272, 362]",0.8794230769230769,0.18181818181818182,pre_expert,BS_108_3_AC
61,BS_108_3_AC.pickle,"[19, 62, 81, 186, 194, 229, 242, 256, 362, 364]",0.5687117552334944,0.4,pre_expert,BS_108_3_AC
62,BS_108_3_AC.pickle,"[19, 62, 88, 164, 175, 176, 229, 242, 254, 316]",0.6835334133653462,0.3,pre_expert,BS_108_3_AC
63,BS_108_3_AC.pickle,"[35, 44, 62, 88, 131, 175, 194, 242, 254, 348]",0.7774109643857544,0.3,pre_expert,BS_108_3_AC
64,BS_108_3_AC.pickle,"[35, 44, 46, 81, 175, 176, 194, 272, 340, 348]",0.86875,0.5,pre_expert,BS_108_3_AC
65,BS_108_3_AC.pickle,"[19, 155, 186, 224, 254, 272, 340, 361, 362, 364]",0.5461111111111111,0.3,pre_expert,BS_108_3_AC
66,BS_108_3_AC.pickle,"[19, 164, 186, 194, 195, 224, 229, 242, 254, 256, 286]",0.5580929487179487,0.36363636363636365,pre_expert,BS_108_3_AC
67,BS_108_3_AC.pickle,"[46, 62, 131, 164, 176, 194, 242, 256, 272, 286, 340, 364]",0.8009935897435898,0.25,pre_expert,BS_108_3_AC
68,BS_108_3_AC.pickle,"[107, 131, 144, 186, 195, 215, 229, 256, 272, 286, 316]",0.6470352564102565,0.45454545454545453,pre_expert,BS_108_3_AC
69,BS_108_3_AC.pickle,"[81, 88, 107, 131, 144, 155, 194, 215, 229, 272, 340, 348]",0.6361217948717949,0.5,pre_expert,BS_108_3_AC
70,BS_108_3_AC.pickle,"[19, 35, 44, 46, 62, 131, 155, 175, 186, 224, 272, 364]",0.8991826923076924,0.3333333333333333,pre_expert,BS_108_3_AC
71,BS_108_3_AC.pickle,"[19, 46, 88, 107, 131, 144, 164, 224, 242, 256, 286, 348]",0.8393108974358975,0.3333333333333333,pre_expert,BS_108_3_AC
72,BS_108_3_AC.pickle,"[35, 46, 81, 224, 242, 272, 340, 348, 361, 364]",0.8292307692307693,0.4,pre_expert,BS_108_3_AC
73,BS_108_3_AC.pickle,"[35, 44, 46, 164, 176, 224, 242, 254, 256, 286, 316, 361]",0.841298076923077,0.4166666666666667,pre_expert,BS_108_3_AC
74,BS_108_3_AC.pickle,"[35, 131, 144, 155, 175, 176, 254, 272, 316, 340, 348, 364]",0.5745162585307105,0.5,pre_expert,BS_108_3_AC
75,BS_108_3_AC.pickle,"[46, 81, 131, 175, 176, 194, 224, 242, 340, 348, 364]",0.8811538461538462,0.2727272727272727,pre_expert,BS_108_3_AC
76,BS_108_3_AC.pickle,"[44, 88, 107, 155, 164, 186, 195, 229, 242, 256, 316]",0.5818707346447209,0.6363636363636364,pre_expert,BS_108_3_AC
77,BS_108_3_AC.pickle,"[19, 44, 81, 88, 131, 164, 286, 340, 361, 364]",0.7312925170068028,0.4,pre_expert,BS_108_3_AC
78,BS_108_3_AC.pickle,"[19, 35, 107, 175, 176, 224, 229, 254, 362, 364]",0.6103220611916262,0.2,pre_expert,BS_108_3_AC
79,BS_108_3_AC.pickle,"[35, 44, 175, 229, 256, 272, 316, 340, 361, 364]",0.9144,0.6,pre_expert,BS_108_3_AC
80,BS_108_3_AC.pickle,"[44, 46, 88, 131, 195, 215, 224, 256, 272, 286, 364]",0.8002564102564104,0.18181818181818182,pre_expert,BS_108_3_AC
81,BS_108_3_AC.pickle,"[62, 81, 107, 144, 155, 164, 176, 256, 272, 286, 348]",0.5439261340826976,0.5454545454545454,pre_expert,BS_108_3_AC
82,BS_108_3_AC.pickle,"[19, 44, 88, 131, 175, 215, 224, 229, 242, 256, 286]",0.7292788461538462,0.2727272727272727,pre_expert,BS_108_3_AC
83,BS_108_3_AC.pickle,"[19, 35, 88, 107, 131, 164, 175, 195, 224, 348, 362]",0.5928824476650564,0.2727272727272727,pre_expert,BS_108_3_AC
84,BS_108_3_AC.pickle,"[81, 144, 175, 176, 186, 195, 224, 286, 316, 340, 362]",0.5766264090177134,0.45454545454545453,pre_expert,BS_108_3_AC
85,BS_108_3_AC.pickle,"[35, 88, 131, 144, 186, 215, 229, 242, 256, 286, 362]",0.6704166666666668,0.45454545454545453,pre_expert,BS_108_3_AC
86,BS_108_3_AC.pickle,"[19, 107, 144, 155, 176, 194, 195, 215, 256, 272, 348]",0.5658814102564101,0.36363636363636365,pre_expert,BS_108_3_AC
87,BS_108_3_AC.pickle,"[62, 81, 144, 155, 194, 195, 229, 242, 272, 286, 364]",0.5768044961862705,0.36363636363636365,pre_expert,BS_108_3_AC
88,BS_108_3_AC.pickle,"[35, 62, 107, 131, 144, 164, 186, 229, 254, 256, 364]",0.538926282051282,0.5454545454545454,pre_expert,BS_108_3_AC
89,BS_108_3_AC.pickle,"[19, 46, 88, 176, 194, 195, 242, 254, 272, 286, 364]",0.803974358974359,0.0,pre_expert,BS_108_3_AC
90,BS_108_3_AC.pickle,"[46, 62, 131, 144, 155, 176, 195, 224, 254, 316, 348]",0.8279967948717949,0.36363636363636365,pre_expert,BS_108_3_AC
91,BS_108_3_AC.pickle,"[35, 62, 107, 175, 176, 186, 194, 229, 242, 272, 364]",0.5347916666666668,0.2727272727272727,pre_expert,BS_108_3_AC
92,BS_108_3_AC.pickle,"[35, 44, 131, 144, 175, 176, 224, 254, 316, 340]",0.7807723089235694,0.5,pre_expert,BS_108_3_AC
93,BS_108_3_AC.pickle,"[44, 46, 62, 88, 144, 224, 286, 340, 364]",0.7969070512820513,0.3333333333333333,pre_expert,BS_108_3_AC
94,BS_108_3_AC.pickle,"[44, 46, 62, 81, 88, 144, 155, 242, 254, 316, 362]",0.7941506410256411,0.45454545454545453,pre_expert,BS_108_3_AC
95,BS_108_3_AC.pickle,"[81, 107, 131, 144, 155, 195, 215, 224, 229, 272, 316]",0.6359775641025642,0.45454545454545453,pre_expert,BS_108_3_AC
96,BS_108_3_AC.pickle,"[46, 81, 107, 144, 155, 164, 175, 176, 194, 242, 364]",0.8221314102564103,0.36363636363636365,pre_expert,BS_108_3_AC
97,BS_108_3_AC.pickle,"[19, 107, 175, 215, 272, 316, 340, 348, 361, 362]",0.6978685897435897,0.3,pre_expert,BS_108_3_AC
98,BS_108_3_AC.pickle,"[19, 81, 144, 194, 195, 229, 242, 256, 364]",0.6314445778311325,0.4444444444444444,pre_expert,BS_108_3_AC
99,BS_108_3_AC.pickle,"[164, 176, 215, 224, 272, 286, 340, 348, 364]",0.5735256410256411,0.3333333333333333,pre_expert,BS_108_3_AC
100,BS_108_3_AC.pickle,"[19, 44, 107, 176, 229, 286, 361, 362, 364]",0.5801529790660225,0.2222222222222222,pre_expert,BS_108_3_AC
101,BS_108_3_AC.pickle,"[35, 62, 131, 164, 175, 176, 254, 256, 286]",0.794173669467787,0.3333333333333333,pre_expert,BS_108_3_AC
102,BS_108_3_AC.pickle,"[164, 194, 215, 224, 229, 242, 256, 272, 286]",0.6620192307692307,0.3333333333333333,pre_expert,BS_108_3_AC
103,BS_108_3_AC.pickle,"[46, 144, 175, 186, 194, 224, 242, 362, 364]",0.8424679487179487,0.2222222222222222,pre_expert,BS_108_3_AC
