,animal,d',condition
0,AE_344,0.4410966923210922,opto
1,AE_346,0.22902506968102299,opto
2,AE_367,0.7056723344827683,opto
3,AE_350,1.9622638280412188,control
4,AE_359,1.7626089591457075,control
5,AE_418,1.8034712046987746,control
6,AE_498,1.7629608445652616,control
7,AE_351,2.022967961668974,control
