,animal,start target go rate,end target go rate,condition
0,AE_344,55.211589120518745,61.71699315272799,opto
1,AE_346,69.67120729451183,54.7189684160796,opto
2,AE_367,59.49456064746689,65.69716976827777,opto
3,AE_350,49.14139153901965,39.30629432624114,control
4,AE_359,50.70758154962888,12.826747720364741,control
5,AE_418,45.44854485448545,24.9194847020934,control
6,AE_498,75.0,45.279307631786,control
7,AE_351,65.31016202813048,37.21233174120712,control
