,animal,session,cluster ID,condition,FR modulation
70,AE_369,AE_369_1_opto_AC.pickle,22,pre expert opto,0.5982905982905983
71,AE_369,AE_369_1_opto_AC.pickle,30,pre expert opto,7.435897435897436
72,AE_369,AE_369_1_opto_AC.pickle,32,pre expert opto,2.478632478632479
73,AE_369,AE_369_1_opto_AC.pickle,37,pre expert opto,7.606837606837605
74,AE_369,AE_369_1_opto_AC.pickle,39,pre expert opto,3.162393162393163
75,AE_369,AE_369_1_opto_AC.pickle,51,pre expert opto,1.666666666666667
76,AE_369,AE_369_1_opto_AC.pickle,55,pre expert opto,0.9523809523809523
77,AE_369,AE_369_1_opto_AC.pickle,61,pre expert opto,2.3589743589743595
78,AE_369,AE_369_1_opto_AC.pickle,78,pre expert opto,27.264957264957257
79,AE_369,AE_369_1_opto_AC.pickle,85,pre expert opto,4.529914529914531
80,AE_369,AE_369_1_opto_AC.pickle,105,pre expert opto,3.733333333333334
81,AE_369,AE_369_1_opto_AC.pickle,142,pre expert opto,2.9059829059829068
82,AE_369,AE_369_1_opto_AC.pickle,148,pre expert opto,1.4529914529914534
83,AE_369,AE_369_1_opto_AC.pickle,152,pre expert opto,10.256410256410259
84,AE_369,AE_369_1_opto_AC.pickle,157,pre expert opto,4.102564102564102
85,AE_369,AE_369_1_opto_AC.pickle,164,pre expert opto,4.7008547008547
86,AE_369,AE_369_1_opto_AC.pickle,172,pre expert opto,3.162393162393163
87,AE_369,AE_369_1_opto_AC.pickle,180,pre expert opto,3.162393162393163
88,AE_369,AE_369_1_opto_AC.pickle,181,pre expert opto,1.709401709401709
89,AE_369,AE_369_1_opto_AC.pickle,184,pre expert opto,48.119658119658126
90,AE_369,AE_369_2_opto_AC.pickle,28,pre expert opto,5.403508771929824
91,AE_369,AE_369_2_opto_AC.pickle,38,pre expert opto,49.316239316239304
92,AE_369,AE_369_2_opto_AC.pickle,45,pre expert opto,6.1111111111111125
93,AE_369,AE_369_2_opto_AC.pickle,121,pre expert opto,1.3675213675213675
94,AE_369,AE_369_2_opto_AC.pickle,128,pre expert opto,4.829059829059829
95,AE_369,AE_369_3_opto_AC.pickle,31,pre expert opto,0.3603603603603604
96,AE_369,AE_369_3_opto_AC.pickle,42,pre expert opto,2.6126126126126126
97,AE_369,AE_369_3_opto_AC.pickle,88,pre expert opto,4.666666666666668
98,AE_369,AE_369_3_opto_AC.pickle,103,pre expert opto,3.693693693693694
99,AE_369,AE_369_3_opto_AC.pickle,108,pre expert opto,31.89189189189189
100,AE_369,AE_369_3_opto_AC.pickle,111,pre expert opto,11.351351351351353
101,AE_369,AE_369_3_opto_AC.pickle,125,pre expert opto,4.774774774774775
102,AE_369,AE_369_3_opto_AC.pickle,126,pre expert opto,3.5135135135135136
103,AE_376,AE_376_1_opto_AC.pickle,9,post expert opto,2.2222222222222223
104,AE_376,AE_376_1_opto_AC.pickle,10,post expert opto,7.873015873015873
105,AE_376,AE_376_1_opto_AC.pickle,15,post expert opto,16.95238095238095
106,AE_376,AE_376_1_opto_AC.pickle,18,post expert opto,11.61904761904762
107,AE_376,AE_376_1_opto_AC.pickle,20,post expert opto,10.0
108,AE_376,AE_376_1_opto_AC.pickle,21,post expert opto,
109,AE_376,AE_376_1_opto_AC.pickle,40,post expert opto,6.666666666666667
110,AE_376,AE_376_1_opto_AC.pickle,43,post expert opto,0.634920634920635
111,AE_376,AE_376_1_opto_AC.pickle,44,post expert opto,13.396825396825395
112,AE_376,AE_376_2_opto_AC.pickle,18,post expert opto,16.48148148148148
113,AE_376,AE_376_3_opto_AC.pickle,3,post expert opto,15.430711610486888
114,AE_389,AE_389_1_opto_control_AC.pickle,0,pre expert control,5.541666666666666
115,AE_389,AE_389_1_opto_control_AC.pickle,5,pre expert control,7.291666666666667
116,AE_389,AE_389_1_opto_control_AC.pickle,40,pre expert control,19.666666666666675
117,AE_389,AE_389_1_opto_control_AC.pickle,48,pre expert control,1.732283464566929
118,AE_389,AE_389_1_opto_control_AC.pickle,76,pre expert control,1.3333333333333341
119,AE_389,AE_389_1_opto_control_AC.pickle,86,pre expert control,21.958333333333332
120,AE_389,AE_389_1_opto_control_AC.pickle,98,pre expert control,2.624999999999999
121,AE_389,AE_389_1_opto_control_AC.pickle,102,pre expert control,33.49999999999999
122,AE_389,AE_389_1_opto_control_AC.pickle,135,pre expert control,7.041666666666667
123,AE_389,AE_389_1_opto_control_AC.pickle,136,pre expert control,24.58333333333334
124,AE_389,AE_389_1_opto_control_AC.pickle,146,pre expert control,14.458333333333332
125,AE_389,AE_389_1_opto_control_AC.pickle,152,pre expert control,5.000000000000002
126,AE_389,AE_389_1_opto_control_AC.pickle,166,pre expert control,32.79166666666667
127,AE_389,AE_389_1_opto_control_AC.pickle,190,pre expert control,7.333333333333331
128,AE_389,AE_389_1_opto_control_AC.pickle,192,pre expert control,2.5000000000000018
129,AE_389,AE_389_1_opto_control_AC.pickle,197,pre expert control,9.291666666666664
130,AE_389,AE_389_1_opto_control_AC.pickle,205,pre expert control,13.0
131,AE_389,AE_389_1_opto_control_AC.pickle,236,pre expert control,4.708333333333335
132,AE_389,AE_389_1_opto_control_AC.pickle,251,pre expert control,2.1637426900584797
133,AE_389,AE_389_1_opto_control_AC.pickle,261,pre expert control,0.8830022075055185
134,AE_389,AE_389_1_opto_control_AC.pickle,269,pre expert control,6.3749999999999964
135,AE_389,AE_389_1_opto_control_AC.pickle,273,pre expert control,0.7083333333333334
136,AE_389,AE_389_1_opto_control_AC.pickle,285,pre expert control,28.083333333333336
137,AE_389,AE_389_1_opto_control_AC.pickle,304,pre expert control,7.875000000000002
138,AE_389,AE_389_1_opto_control_AC.pickle,315,pre expert control,11.791666666666675
139,AE_389,AE_389_1_opto_control_AC.pickle,317,pre expert control,1.4166666666666659
140,AE_389,AE_389_1_opto_control_AC.pickle,318,pre expert control,12.999999999999995
141,AE_389,AE_389_1_opto_control_AC.pickle,320,pre expert control,0.7083333333333334
142,AE_389,AE_389_1_opto_control_AC.pickle,321,pre expert control,4.875000000000002
143,AE_389,AE_389_1_opto_control_AC.pickle,326,pre expert control,2.0000000000000004
144,AE_389,AE_389_1_opto_control_AC.pickle,327,pre expert control,3.333333333333335
145,AE_389,AE_389_2_opto_control_AC.pickle,2,pre expert control,14.829059829059835
146,AE_389,AE_389_2_opto_control_AC.pickle,21,pre expert control,37.05128205128205
147,AE_389,AE_389_2_opto_control_AC.pickle,41,pre expert control,0.47008547008547025
148,AE_389,AE_389_2_opto_control_AC.pickle,54,pre expert control,1.5811965811965811
149,AE_389,AE_389_2_opto_control_AC.pickle,58,pre expert control,4.017094017094017
150,AE_389,AE_389_2_opto_control_AC.pickle,67,pre expert control,2.9487179487179485
151,AE_389,AE_389_2_opto_control_AC.pickle,75,pre expert control,2.7350427350427355
152,AE_389,AE_389_2_opto_control_AC.pickle,83,pre expert control,20.12820512820513
153,AE_389,AE_389_2_opto_control_AC.pickle,85,pre expert control,0.7692307692307693
154,AE_389,AE_389_2_opto_control_AC.pickle,90,pre expert control,1.1403508771929831
155,AE_389,AE_389_2_opto_control_AC.pickle,117,pre expert control,14.4017094017094
156,AE_389,AE_389_2_opto_control_AC.pickle,118,pre expert control,1.0683760683760688
157,AE_389,AE_389_2_opto_control_AC.pickle,143,pre expert control,22.393162393162402
158,AE_389,AE_389_2_opto_control_AC.pickle,165,pre expert control,8.76068376068376
159,AE_389,AE_389_2_opto_control_AC.pickle,171,pre expert control,7.991452991452995
