,session,clust,accuracy,NCR_ratio,learning_phase,animal
56,BS_119_2_opto_AC.pickle,"[65, 129, 163, 176]",0.5394070512820512,0.0,post_early,BS_119_2_opto_AC
57,BS_119_2_opto_AC.pickle,"[91, 106, 129, 176]",0.5306891025641025,0.0,post_early,BS_119_2_opto_AC
58,BS_119_2_opto_AC.pickle,"[16, 50, 163, 176]",0.5430288461538462,0.0,post_early,BS_119_2_opto_AC
59,BS_119_2_opto_AC.pickle,"[12, 22, 61, 91]",0.5262,0.25,post_early,BS_119_2_opto_AC
60,BS_119_2_opto_AC.pickle,"[16, 65, 70, 130]",0.5446178471388555,0.0,post_early,BS_119_2_opto_AC
61,BS_119_2_opto_AC.pickle,"[70, 106, 129, 131]",0.5861144457783114,0.0,post_early,BS_119_2_opto_AC
62,BS_119_2_opto_AC.pickle,"[12, 16, 106, 173]",0.6655999999999999,0.0,post_early,BS_119_2_opto_AC
63,BS_119_2_opto_AC.pickle,"[16, 50, 65, 79]",0.4635768767563227,0.0,post_early,BS_119_2_opto_AC
64,BS_119_2_opto_AC.pickle,"[16, 53, 130, 140]",0.5934203131272581,0.0,post_early,BS_119_2_opto_AC
65,BS_119_2_opto_AC.pickle,"[61, 106, 130, 189]",0.5232396627860297,0.25,post_early,BS_119_2_opto_AC
66,BS_119_2_opto_AC.pickle,"[79, 91, 131, 173, 189]",0.5850060216780408,0.0,post_early,BS_119_2_opto_AC
67,BS_119_2_opto_AC.pickle,"[91, 129, 189]",0.4784273709483793,0.0,post_early,BS_119_2_opto_AC
68,BS_119_2_opto_AC.pickle,"[70, 106, 130, 163]",0.60062424969988,0.0,post_early,BS_119_2_opto_AC
69,BS_119_2_opto_AC.pickle,"[50, 91, 161, 163]",0.6676000000000001,0.25,post_early,BS_119_2_opto_AC
70,BS_119_2_opto_AC.pickle,"[16, 91, 130, 173]",0.5878924126856683,0.0,post_early,BS_119_2_opto_AC
71,BS_119_2_opto_AC.pickle,"[53, 129, 140, 161]",0.5752460984393757,0.25,post_early,BS_119_2_opto_AC
72,BS_119_2_opto_AC.pickle,"[65, 91, 106, 189]",0.5419309514251304,0.0,post_early,BS_119_2_opto_AC
73,BS_119_2_opto_AC.pickle,"[16, 22, 53, 106, 130]",0.5964150943396226,0.0,post_early,BS_119_2_opto_AC
74,BS_119_2_opto_AC.pickle,"[79, 106, 129, 131, 173]",0.5965826330532213,0.0,post_early,BS_119_2_opto_AC
75,BS_119_2_opto_AC.pickle,"[50, 79, 131, 161, 176]",0.5806410256410256,0.2,post_early,BS_119_2_opto_AC
76,BS_119_2_opto_AC.pickle,"[12, 22, 50, 53, 61]",0.5888,0.2,post_early,BS_119_2_opto_AC
77,BS_119_2_opto_AC.pickle,"[12, 22, 91, 161, 173]",0.5932000000000001,0.2,post_early,BS_119_2_opto_AC
78,BS_119_2_opto_AC.pickle,"[22, 50, 70, 140, 189]",0.5959983993597439,0.0,post_early,BS_119_2_opto_AC
79,BS_119_2_opto_AC.pickle,"[67, 106, 129, 140, 189]",0.5219567827130852,0.2,post_early,BS_119_2_opto_AC
80,BS_119_2_opto_AC.pickle,"[12, 22, 129, 131, 161]",0.6136174469787916,0.2,post_early,BS_119_2_opto_AC
81,BS_119_2_opto_AC.pickle,"[16, 22, 91, 130, 161]",0.5968000000000001,0.2,post_early,BS_119_2_opto_AC
82,BS_119_2_opto_AC.pickle,"[12, 22, 53, 91, 161]",0.5778,0.2,post_early,BS_119_2_opto_AC
83,BS_119_2_opto_AC.pickle,"[67, 70, 91, 106, 131]",0.5844217687074829,0.2,post_early,BS_119_2_opto_AC
84,BS_119_2_opto_AC.pickle,"[53, 70, 140, 173, 176]",0.5376121794871795,0.0,post_early,BS_119_2_opto_AC
85,BS_119_2_opto_AC.pickle,"[53, 67, 91, 130, 176]",0.5429326923076923,0.2,post_early,BS_119_2_opto_AC
86,BS_119_2_opto_AC.pickle,"[22, 53, 61, 130, 131]",0.516354877559213,0.2,post_early,BS_119_2_opto_AC
87,BS_119_2_opto_AC.pickle,"[53, 70, 129, 130, 131]",0.6484753901560624,0.0,post_early,BS_119_2_opto_AC
88,BS_119_2_opto_AC.pickle,"[16, 53, 70]",0.5493837535014005,0.0,post_early,BS_119_2_opto_AC
89,BS_119_2_opto_AC.pickle,"[16, 65, 91, 140, 161]",0.6664,0.2,post_early,BS_119_2_opto_AC
90,BS_119_2_opto_AC.pickle,"[12, 53, 61, 65, 79, 130, 131, 140, 161, 173]",0.6587999999999999,0.2,post_early,BS_119_2_opto_AC
91,BS_119_2_opto_AC.pickle,"[16, 65, 79, 91, 173, 189]",0.5360016057808109,0.0,post_early,BS_119_2_opto_AC
92,BS_119_2_opto_AC.pickle,"[22, 61, 67, 91, 140, 161, 173, 189]",0.5708,0.375,post_early,BS_119_2_opto_AC
93,BS_119_2_opto_AC.pickle,"[22, 53, 65, 79, 91, 129]",0.554029611844738,0.0,post_early,BS_119_2_opto_AC
94,BS_119_2_opto_AC.pickle,"[22, 53, 129, 140, 173, 189]",0.4763425370148059,0.0,post_early,BS_119_2_opto_AC
95,BS_119_2_opto_AC.pickle,"[53, 61, 70, 79, 161, 173]",0.5826,0.3333333333333333,post_early,BS_119_2_opto_AC
96,BS_119_2_opto_AC.pickle,"[67, 70, 130, 140, 173, 189]",0.5330212084833934,0.1666666666666666,post_early,BS_119_2_opto_AC
97,BS_119_2_opto_AC.pickle,"[12, 50, 67, 79, 91, 106]",0.52,0.1666666666666666,post_early,BS_119_2_opto_AC
98,BS_119_2_opto_AC.pickle,"[61, 79, 91, 129, 130, 173]",0.5374909963985595,0.1666666666666666,post_early,BS_119_2_opto_AC
99,BS_119_2_opto_AC.pickle,"[67, 70, 131, 161, 163, 189]",0.6467999999999999,0.3333333333333333,post_early,BS_119_2_opto_AC
100,BS_119_2_opto_AC.pickle,"[65, 91, 106, 129, 163, 189]",0.6351780712284913,0.0,post_early,BS_119_2_opto_AC
101,BS_119_2_opto_AC.pickle,"[16, 50, 79, 106, 129, 131, 176]",0.5384935897435897,0.0,post_early,BS_119_2_opto_AC
102,BS_119_2_opto_AC.pickle,"[16, 22, 50, 106, 130, 163]",0.5475270975511841,0.0,post_early,BS_119_2_opto_AC
103,BS_119_2_opto_AC.pickle,"[16, 22, 50, 53, 106, 129]",0.5901520608243297,0.0,post_early,BS_119_2_opto_AC
104,BS_119_2_opto_AC.pickle,"[50, 70, 79, 91, 130, 161]",0.58,0.1666666666666666,post_early,BS_119_2_opto_AC
105,BS_119_2_opto_AC.pickle,"[16, 61, 106, 129, 131, 176]",0.5332692307692307,0.1666666666666666,post_early,BS_119_2_opto_AC
106,BS_119_2_opto_AC.pickle,"[16, 53, 67, 70, 129, 161]",0.6131332533013205,0.3333333333333333,post_early,BS_119_2_opto_AC
107,BS_119_2_opto_AC.pickle,"[53, 67, 91, 106, 130, 189]",0.5147999999999999,0.1666666666666666,post_early,BS_119_2_opto_AC
108,BS_119_2_opto_AC.pickle,"[22, 61, 67, 106, 161, 173]",0.6088,0.5,post_early,BS_119_2_opto_AC
109,BS_119_2_opto_AC.pickle,"[50, 65, 106, 129, 130, 131]",0.6262665066026412,0.0,post_early,BS_119_2_opto_AC
110,BS_119_2_opto_AC.pickle,"[22, 65, 70, 129, 140, 173]",0.5573629451780712,0.0,post_early,BS_119_2_opto_AC
111,BS_119_2_opto_AC.pickle,"[16, 22, 65, 70, 129, 130, 173]",0.6082673069227691,0.0,post_early,BS_119_2_opto_AC
