,animal,session,cluster ID,learning phase,target rate,nontarget rate
64,BS_40,BS_40_12_AC.pickle,90,pre expert,,
65,BS_40,BS_40_12_AC.pickle,100,pre expert,-4.444444444444445,-3.7681159420289863
66,BS_40,BS_40_12_AC.pickle,103,pre expert,1.111111111111111,1.1594202898550723
67,BS_40,BS_40_12_AC.pickle,110,pre expert,,
68,BS_40,BS_40_12_AC.pickle,118,pre expert,-3.1111111111111116,3.478260869565217
69,BS_40,BS_40_12_AC.pickle,119,pre expert,,
70,BS_40,BS_40_15_AC.pickle,0,post early,-1.3182674199623392,2.3552894211576856
71,BS_40,BS_40_15_AC.pickle,1,post early,-1.2280701754385965,-1.25
72,BS_40,BS_40_15_AC.pickle,3,post early,-3.0508474576271194,-4.39121756487026
73,BS_40,BS_40_15_AC.pickle,7,post early,1.9184652278177454,4.6268656716417915
74,BS_40,BS_40_15_AC.pickle,10,post early,-1.845574387947269,-2.5149700598802394
75,BS_40,BS_40_15_AC.pickle,40,post early,8.756218905472634,7.5065616797900265
76,BS_40,BS_40_15_AC.pickle,47,post early,14.990583804143128,20.000000000000004
77,BS_40,BS_40_15_AC.pickle,60,post early,-0.9070294784580499,-1.596244131455399
78,BS_40,BS_40_15_AC.pickle,62,post early,-6.558265582655828,-5.217391304347827
79,BS_40,BS_40_15_AC.pickle,64,post early,-3.1261770244821037,-3.7924151696606785
80,BS_40,BS_40_15_AC.pickle,66,post early,1.317365269461078,-2.083333333333334
81,BS_40,BS_40_15_AC.pickle,68,post early,20.188323917137474,34.29141716566866
82,BS_40,BS_40_16_AC.pickle,0,post early,-1.9310344827586206,7.117794486215539
83,BS_40,BS_40_16_AC.pickle,4,post early,-1.0180623973727423,-2.340425531914894
84,BS_40,BS_40_16_AC.pickle,5,post early,3.1198686371100157,-3.049645390070923
85,BS_40,BS_40_16_AC.pickle,10,post early,-2.4958949096880128,-2.2695035460992905
86,BS_40,BS_40_16_AC.pickle,14,post early,-4.92753623188406,10.782997762863536
87,BS_40,BS_40_16_AC.pickle,15,post early,1.4437367303609339,-1.4965986394557826
88,BS_40,BS_40_16_AC.pickle,16,post early,-1.1177644710578842,1.2043010752688166
89,BS_40,BS_40_16_AC.pickle,21,post early,32.87356321839081,21.666666666666664
90,BS_40,BS_40_16_AC.pickle,24,post early,29.34523809523809,24.6984126984127
91,BS_40,BS_40_16_AC.pickle,26,post early,34.00709219858156,34.24242424242424
92,BS_40,BS_40_16_AC.pickle,35,post early,28.5207100591716,14.381551362683439
93,BS_40,BS_40_18_AC.pickle,2,post early,-0.9727164887307245,1.6476552598225602
94,BS_40,BS_40_18_AC.pickle,4,post early,-1.1625148279952553,-0.9885931558935361
95,BS_40,BS_40_18_AC.pickle,19,post early,2.4968789013732837,3.1606905710491358
96,BS_40,BS_40_18_AC.pickle,36,post early,2.111506524317912,-3.092522179974651
97,BS_40,BS_40_18_AC.pickle,41,post early,-0.8540925266903918,-1.0139416983523448
98,BS_40,BS_40_18_AC.pickle,49,post early,1.2919896640826876,1.8181818181818183
99,BS_40,BS_40_19_AC.pickle,1,post late,0.816864295125165,-2.2028985507246386
100,BS_40,BS_40_19_AC.pickle,3,post late,-1.9047619047619053,-1.711711711711712
101,BS_40,BS_40_19_AC.pickle,6,post late,0.895915678524374,3.5072463768115947
102,BS_40,BS_40_19_AC.pickle,8,post late,1.1857707509881423,2.028985507246377
103,BS_40,BS_40_19_AC.pickle,19,post late,2.028985507246376,-2.1159420289855078
104,BS_40,BS_40_19_AC.pickle,22,post late,5.085638998682477,10.231884057971016
105,BS_40,BS_40_19_AC.pickle,31,post late,1.8181818181818181,2.9275362318840576
106,BS_40,BS_40_19_AC.pickle,33,post late,1.5023474178403755,3.4444444444444446
107,BS_40,BS_40_19_AC.pickle,34,post late,0.770712909441233,0.6751054852320676
108,BS_40,BS_40_19_AC.pickle,35,post late,2.2033898305084745,7.6276276276276285
109,BS_40,BS_40_19_AC.pickle,46,post late,-1.0803689064558633,2.637681159420291
110,BS_40,BS_40_19_AC.pickle,47,post late,0.9222661396574439,0.8405797101449275
111,BS_40,BS_40_19_AC.pickle,48,post late,1.8445322793148868,4.898550724637682
112,BS_40,BS_40_21_AC.pickle,4,post expert,2.857142857142857,1.24031007751938
113,BS_40,BS_40_21_AC.pickle,8,post expert,,
114,BS_40,BS_40_21_AC.pickle,26,post expert,,
115,BS_40,BS_40_21_AC.pickle,27,post expert,,
116,BS_40,BS_40_21_AC.pickle,32,post expert,-1.08843537414966,1.86046511627907
117,BS_40,BS_40_21_AC.pickle,33,post expert,-2.2222222222222223,6.666666666666667
118,BS_40,BS_40_21_AC.pickle,37,post expert,1.6666666666666667,16.666666666666668
119,BS_40,BS_40_21_AC.pickle,42,post expert,3.6734693877551017,-2.4806201550387597
120,BS_40,BS_40_21_AC.pickle,49,post expert,-2.17687074829932,8.527131782945737
121,BS_40,BS_40_21_AC.pickle,53,post expert,5.333333333333333,20.0
122,BS_40,BS_40_21_AC.pickle,54,post expert,-7.5,10.0
123,BS_40,BS_40_21_AC.pickle,55,post expert,1.0884353741496597,1.86046511627907
124,BS_40,BS_40_22_AC.pickle,0,post expert,,
125,BS_40,BS_40_22_AC.pickle,1,post expert,-1.26984126984127,0.9053497942386834
126,BS_40,BS_40_22_AC.pickle,7,post expert,-11.904761904761909,6.337448559670783
127,BS_40,BS_40_22_AC.pickle,11,post expert,14.70319634703196,2.885572139303484
128,BS_40,BS_40_22_AC.pickle,13,post expert,-1.9841269841269837,1.316872427983539
129,BS_40,BS_40_2_AC.pickle,4,pre late,6.606060606060606,-0.9345794392523363
130,BS_40,BS_40_2_AC.pickle,15,pre late,3.150912106135987,3.3856893542757414
131,BS_40,BS_40_2_AC.pickle,18,pre late,-3.5489220563847437,5.68935427574171
132,BS_40,BS_40_2_AC.pickle,30,pre late,-1.359867330016584,3.00174520069808
133,BS_40,BS_40_2_AC.pickle,33,pre late,-6.616541353383459,2.864583333333332
134,BS_40,BS_40_2_AC.pickle,43,pre late,-6.713286713286713,7.598039215686274
135,BS_40,BS_40_2_AC.pickle,45,pre late,-2.8629856850715747,-1.068376068376069
136,BS_40,BS_40_2_AC.pickle,46,pre late,7.296849087893864,-5.410122164048866
137,BS_40,BS_40_2_AC.pickle,51,pre late,1.7910447761194028,-3.2460732984293195
138,BS_40,BS_40_2_AC.pickle,56,pre late,-4.7754137115839255,6.969696969696969
139,BS_40,BS_40_2_AC.pickle,58,pre late,3.5489220563847432,2.2687609075043627
140,BS_40,BS_40_2_AC.pickle,61,pre late,24.344941956882256,4.397905759162303
141,BS_40,BS_40_2_AC.pickle,65,pre late,3.349917081260365,4.607329842931937
142,BS_40,BS_40_2_AC.pickle,66,pre late,15.787728026533998,-1.8150087260034908
143,BS_40,BS_40_2_AC.pickle,67,pre late,12.321428571428571,-1.4197530864197527
144,BS_40,BS_40_2_AC.pickle,70,pre late,5.538971807628524,2.1291448516579408
145,BS_40,BS_40_2_AC.pickle,72,pre late,3.2835820895522385,7.958115183246073
146,BS_40,BS_40_2_AC.pickle,83,pre late,7.960199004975124,5.165794066317626
147,BS_40,BS_40_2_AC.pickle,96,pre late,31.8407960199005,23.21116928446771
148,BS_40,BS_40_2_AC.pickle,97,pre late,-3.913764510779436,-3.87434554973822
149,BS_40,BS_40_2_AC.pickle,98,pre late,10.315091210613597,16.68411867364747
150,BS_40,BS_40_2_AC.pickle,103,pre late,29.983416252072967,7.0855148342059335
151,BS_40,BS_40_2_AC.pickle,115,pre late,17.50465549348231,2.857142857142857
152,BS_40,BS_40_2_AC.pickle,120,pre late,-3.3333333333333335,4.175824175824175
153,BS_40,BS_40_2_AC.pickle,122,pre late,4.571428571428572,1.4285714285714284
154,BS_40,BS_40_2_AC.pickle,124,pre late,3.1840796019900504,1.745200698080279
155,BS_40,BS_40_2_AC.pickle,133,pre late,-3.880597014925373,3.630017452006981
156,BS_40,BS_40_2_AC.pickle,138,pre late,1.839080459770115,0.5405405405405406
157,BS_40,BS_40_2_AC.pickle,142,pre late,1.9178082191780823,4.491725768321513
158,BS_40,BS_40_2_AC.pickle,153,pre late,6.901960784313725,8.273092369477911
159,BS_40,BS_40_2_AC.pickle,154,pre late,5.339966832504146,7.7486910994764395
160,BS_40,BS_40_2_AC.pickle,156,pre late,-0.8333333333333333,0.7960199004975124
161,BS_40,BS_40_2_AC.pickle,162,pre late,-3.9469320066335,-3.385689354275742
162,BS_40,BS_40_2_AC.pickle,163,pre late,1.7578772802653395,2.198952879581152
163,BS_40,BS_40_2_AC.pickle,164,pre late,-4.444444444444445,-3.986254295532646
164,BS_40,BS_40_2_AC.pickle,165,pre late,-3.449419568822554,1.2565445026178015
165,BS_40,BS_40_2_AC.pickle,166,pre late,2.9519071310116085,1.1518324607329844
166,BS_40,BS_40_2_AC.pickle,178,pre late,1.461187214611872,1.5525114155251138
167,BS_40,BS_40_2_AC.pickle,184,pre late,-1.1051693404634582,0.8378870673952641
168,BS_40,BS_40_2_AC.pickle,188,pre late,1.857379767827529,2.303664921465969
169,BS_40,BS_40_2_AC.pickle,189,pre late,-4.842454394693201,16.2652705061082
170,BS_40,BS_40_2_AC.pickle,190,pre late,2.3333333333333335,5.371428571428572
171,BS_40,BS_40_2_AC.pickle,194,pre late,18.673300165837478,4.537521815008725
172,BS_40,BS_40_2_AC.pickle,195,pre late,18.341625207296847,6.317626527050611
173,BS_40,BS_40_2_AC.pickle,201,pre late,4.112769485903813,1.919720767888307
174,BS_40,BS_40_2_AC.pickle,204,pre late,-5.6716417910447765,4.25828970331588
175,BS_40,BS_40_2_AC.pickle,206,pre late,8.623548922056385,9.07504363001745
176,BS_40,BS_40_2_AC.pickle,210,pre late,9.05109489051095,16.818181818181817
177,BS_40,BS_40_2_AC.pickle,211,pre late,5.068870523415978,-0.8474576271186443
178,BS_40,BS_40_2_AC.pickle,212,pre late,13.134328358208954,3.5602094240837694
179,BS_40,BS_40_2_AC.pickle,213,pre late,2.0232172470978442,1.6404886561954628
180,BS_40,BS_40_2_AC.pickle,222,pre late,1.1003236245954693,3.605442176870748
181,BS_40,BS_40_2_AC.pickle,225,pre late,25.472636815920396,31.09947643979058
182,BS_40,BS_40_2_AC.pickle,230,pre late,-8.12603648424544,-7.678883071553227
183,BS_40,BS_40_2_AC.pickle,231,pre late,1.1276948590381424,4.677137870855148
184,BS_40,BS_40_3_AC.pickle,0,pre late,-8.237037037037037,-6.19718309859155
185,BS_40,BS_40_3_AC.pickle,10,pre late,3.762962962962963,2.4726134585289516
186,BS_40,BS_40_3_AC.pickle,14,pre late,9.600000000000001,13.364632237871673
187,BS_40,BS_40_3_AC.pickle,15,pre late,22.488888888888887,7.574334898278559
188,BS_40,BS_40_3_AC.pickle,23,pre late,18.971807628524047,19.140893470790378
